array_size,index,method,time,
100,0,original,0.002024,
100,0,merge_array,0.000461,
100,0,change_order,0.000415,
100,0,change_order_merge_array,0.000431,
100,0,unnested_loop,0.000355,
100,0,change_order_unnested_loop_merge_array,0.000379,
100,1,original,0.000456,
100,1,merge_array,0.000433,
100,1,change_order,0.000415,
100,1,change_order_merge_array,0.000501,
100,1,unnested_loop,0.000375,
100,1,change_order_unnested_loop_merge_array,0.000459,
100,2,original,0.000714,
100,2,merge_array,0.000504,
100,2,change_order,0.000445,
100,2,change_order_merge_array,0.000462,
100,2,unnested_loop,0.00038,
100,2,change_order_unnested_loop_merge_array,0.000395,
100,3,original,0.000449,
100,3,merge_array,0.000464,
100,3,change_order,0.000444,
100,3,change_order_merge_array,0.000463,
100,3,unnested_loop,0.00038,
100,3,change_order_unnested_loop_merge_array,0.000395,
100,4,original,0.000446,
100,4,merge_array,0.000464,
100,4,change_order,0.000444,
100,4,change_order_merge_array,0.000465,
100,4,unnested_loop,0.00038,
100,4,change_order_unnested_loop_merge_array,0.000395,
100,5,original,0.000446,
100,5,merge_array,0.000464,
100,5,change_order,0.000445,
100,5,change_order_merge_array,0.000463,
100,5,unnested_loop,0.00038,
100,5,change_order_unnested_loop_merge_array,0.000395,
100,6,original,0.000508,
100,6,merge_array,0.000468,
100,6,change_order,0.000444,
100,6,change_order_merge_array,0.000462,
100,6,unnested_loop,0.000381,
100,6,change_order_unnested_loop_merge_array,0.000396,
100,7,original,0.000446,
100,7,merge_array,0.000464,
100,7,change_order,0.000444,
100,7,change_order_merge_array,0.000524,
100,7,unnested_loop,0.000374,
100,7,change_order_unnested_loop_merge_array,0.000388,
100,8,original,0.000437,
100,8,merge_array,0.000453,
100,8,change_order,0.000435,
100,8,change_order_merge_array,0.000452,
100,8,unnested_loop,0.000375,
100,8,change_order_unnested_loop_merge_array,0.000387,
100,9,original,0.000436,
100,9,merge_array,0.000555,
100,9,change_order,0.000444,
100,9,change_order_merge_array,0.000463,
100,9,unnested_loop,0.000381,
100,9,change_order_unnested_loop_merge_array,0.000397,
100,10,original,0.000446,
100,10,merge_array,0.000463,
100,10,change_order,0.000444,
100,10,change_order_merge_array,0.000505,
100,10,unnested_loop,0.00038,
100,10,change_order_unnested_loop_merge_array,0.000395,
100,11,original,0.000446,
100,11,merge_array,0.000464,
100,11,change_order,0.000444,
100,11,change_order_merge_array,0.000462,
100,11,unnested_loop,0.000397,
100,11,change_order_unnested_loop_merge_array,0.000377,
100,12,original,0.000464,
100,12,merge_array,0.000517,
100,12,change_order,0.000424,
100,12,change_order_merge_array,0.000441,
100,12,unnested_loop,0.000363,
100,12,change_order_unnested_loop_merge_array,0.000377,
100,13,original,0.000426,
100,13,merge_array,0.000443,
100,13,change_order,0.000424,
100,13,change_order_merge_array,0.000441,
100,13,unnested_loop,0.000427,
100,13,change_order_unnested_loop_merge_array,0.000377,
100,14,original,0.000426,
100,14,merge_array,0.000443,
100,14,change_order,0.000424,
100,14,change_order_merge_array,0.000441,
100,14,unnested_loop,0.000363,
100,14,change_order_unnested_loop_merge_array,0.000377,
100,15,original,0.000458,
100,15,merge_array,0.000475,
100,15,change_order,0.000454,
100,15,change_order_merge_array,0.000441,
100,15,unnested_loop,0.000363,
100,15,change_order_unnested_loop_merge_array,0.000378,
100,16,original,0.000426,
100,16,merge_array,0.000442,
100,16,change_order,0.000586,
100,16,change_order_merge_array,0.000441,
100,16,unnested_loop,0.000363,
100,16,change_order_unnested_loop_merge_array,0.000425,
100,17,original,0.000426,
100,17,merge_array,0.000442,
100,17,change_order,0.000424,
100,17,change_order_merge_array,0.000441,
100,17,unnested_loop,0.000437,
100,17,change_order_unnested_loop_merge_array,0.000404,
100,18,original,0.000426,
100,18,merge_array,0.000443,
100,18,change_order,0.000487,
100,18,change_order_merge_array,0.00054,
100,18,unnested_loop,0.000519,
100,18,change_order_unnested_loop_merge_array,0.000391,
100,19,original,0.000426,
100,19,merge_array,0.000541,
100,19,change_order,0.000424,
100,19,change_order_merge_array,0.000442,
100,19,unnested_loop,0.000499,
100,19,change_order_unnested_loop_merge_array,0.000379,
100,20,original,0.000449,
100,20,merge_array,0.000491,
100,20,change_order,0.000611,
100,20,change_order_merge_array,0.000443,
100,20,unnested_loop,0.000364,
100,20,change_order_unnested_loop_merge_array,0.000378,
100,21,original,0.000426,
100,21,merge_array,0.000533,
100,21,change_order,0.000424,
100,21,change_order_merge_array,0.000458,
100,21,unnested_loop,0.000363,
100,21,change_order_unnested_loop_merge_array,0.000377,
100,22,original,0.000426,
100,22,merge_array,0.000443,
100,22,change_order,0.000424,
100,22,change_order_merge_array,0.000441,
100,22,unnested_loop,0.000363,
100,22,change_order_unnested_loop_merge_array,0.000432,
100,23,original,0.000457,
100,23,merge_array,0.000442,
100,23,change_order,0.000424,
100,23,change_order_merge_array,0.000441,
100,23,unnested_loop,0.000364,
100,23,change_order_unnested_loop_merge_array,0.000377,
100,24,original,0.000493,
100,24,merge_array,0.00054,
100,24,change_order,0.000641,
100,24,change_order_merge_array,0.000441,
100,24,unnested_loop,0.000364,
100,24,change_order_unnested_loop_merge_array,0.000415,
100,25,original,0.000416,
100,25,merge_array,0.000432,
100,25,change_order,0.000415,
100,25,change_order_merge_array,0.00043,
100,25,unnested_loop,0.000357,
100,25,change_order_unnested_loop_merge_array,0.000433,
100,26,original,0.000416,
100,26,merge_array,0.000432,
100,26,change_order,0.000415,
100,26,change_order_merge_array,0.000431,
100,26,unnested_loop,0.000357,
100,26,change_order_unnested_loop_merge_array,0.000369,
100,27,original,0.000416,
100,27,merge_array,0.000432,
100,27,change_order,0.000415,
100,27,change_order_merge_array,0.000498,
100,27,unnested_loop,0.000363,
100,27,change_order_unnested_loop_merge_array,0.000377,
100,28,original,0.000426,
100,28,merge_array,0.000443,
100,28,change_order,0.000424,
100,28,change_order_merge_array,0.000441,
100,28,unnested_loop,0.000363,
100,28,change_order_unnested_loop_merge_array,0.000378,
100,29,original,0.000507,
100,29,merge_array,0.000719,
100,29,change_order,0.000483,
100,29,change_order_merge_array,0.000441,
100,29,unnested_loop,0.000363,
100,29,change_order_unnested_loop_merge_array,0.000435,
250,0,original,0.003106,
250,0,merge_array,0.003489,
250,0,change_order,0.002752,
250,0,change_order_merge_array,0.002862,
250,0,unnested_loop,0.002535,
250,0,change_order_unnested_loop_merge_array,0.002506,
250,1,original,0.002745,
250,1,merge_array,0.002887,
250,1,change_order,0.002724,
250,1,change_order_merge_array,0.002768,
250,1,unnested_loop,0.00241,
250,1,change_order_unnested_loop_merge_array,0.002372,
250,2,original,0.002736,
250,2,merge_array,0.002833,
250,2,change_order,0.002729,
250,2,change_order_merge_array,0.002833,
250,2,unnested_loop,0.002335,
250,2,change_order_unnested_loop_merge_array,0.002415,
250,3,original,0.002748,
250,3,merge_array,0.002847,
250,3,change_order,0.002729,
250,3,change_order_merge_array,0.002832,
250,3,unnested_loop,0.002334,
250,3,change_order_unnested_loop_merge_array,0.002415,
250,4,original,0.002751,
250,4,merge_array,0.002848,
250,4,change_order,0.002727,
250,4,change_order_merge_array,0.002834,
250,4,unnested_loop,0.002333,
250,4,change_order_unnested_loop_merge_array,0.002417,
250,5,original,0.002752,
250,5,merge_array,0.002929,
250,5,change_order,0.002728,
250,5,change_order_merge_array,0.002835,
250,5,unnested_loop,0.002332,
250,5,change_order_unnested_loop_merge_array,0.002422,
250,6,original,0.002752,
250,6,merge_array,0.00285,
250,6,change_order,0.002728,
250,6,change_order_merge_array,0.002835,
250,6,unnested_loop,0.002375,
250,6,change_order_unnested_loop_merge_array,0.002415,
250,7,original,0.002787,
250,7,merge_array,0.002851,
250,7,change_order,0.002728,
250,7,change_order_merge_array,0.002835,
250,7,unnested_loop,0.002379,
250,7,change_order_unnested_loop_merge_array,0.002421,
250,8,original,0.002794,
250,8,merge_array,0.00289,
250,8,change_order,0.002728,
